trial_number,state,value,learning_rate,batch_size,epochs,weight_decay,warmup_ratio,label_smoothing_factor,hidden_dropout_prob,cv_oof_accuracy,cv_oof_precision,cv_oof_recall,cv_oof_f1,cv_oof_roc_auc,cv_selected_threshold
26,TrialState.COMPLETE,0.8767815434482101,3.930307832703071e-05,32,5,0.062456575327916174,0.10387183009620649,0.0,0.1,0.9022277695828133,0.8614649681528662,0.8926526254488983,0.8767815434482101,0.9609512966822675,0.51
12,TrialState.PRUNED,0.8764179104477612,2.813291062737844e-05,32,5,0.2084737482211883,0.14285128052483914,0.0,0.2,,,,,,
27,TrialState.COMPLETE,0.876265627228217,2.9283972375064024e-05,32,5,0.06306211755423409,0.08993044276730287,0.0,0.1,0.9015469571466395,0.8586733743245761,0.894593807628846,0.876265627228217,0.9661879923061045,0.56
23,TrialState.COMPLETE,0.875549188156638,3.6529501154160016e-05,32,5,0.16529001246220815,0.13399902017944512,0.0,0.2,0.9014334884072771,0.8618031399830779,0.889740852178977,0.875549188156638,0.9633731909267201,0.39
13,TrialState.COMPLETE,0.8755422088755422,4.9858140880002863e-05,32,5,0.10429002914897481,0.14856543181001197,0.0,0.2,0.9012443738416733,0.8602472836268266,0.8913908570319324,0.8755422088755422,0.9636740946158373,0.33
19,TrialState.COMPLETE,0.8752171395483498,3.6477940571867757e-05,32,5,0.12599642270342223,0.14922372144534596,0.0,0.2,0.9021899466696925,0.8702619710200556,0.8802290594972338,0.8752171395483498,0.962054865849346,0.5
22,TrialState.COMPLETE,0.875143733231123,3.781109701500039e-05,32,5,0.15408434011581162,0.14959132078410017,0.0,0.2,0.9014334884072771,0.8641309490017978,0.8864408424730661,0.875143733231123,0.9636617877902913,0.47000000000000003
24,TrialState.COMPLETE,0.8746971605775753,3.45548708262146e-05,32,5,0.11177558532741086,0.13438594311005286,0.0,0.2,0.9021899466696925,0.8733430091920658,0.8760555178103465,0.8746971605775753,0.9670582611136408,0.53
11,TrialState.COMPLETE,0.8741994073224357,4.779760800082193e-05,32,5,0.2169547091549001,0.14525821424233828,0.0,0.2,0.9004500926661372,0.8611922026556172,0.8876055517810346,0.8741994073224357,0.9660137568895967,0.52
17,TrialState.PRUNED,0.8741115528249609,2.1724098313525656e-05,32,5,0.08422828627191123,0.1293278599514371,0.0,0.2,,,,,,
25,TrialState.PRUNED,0.8740176232436294,2.2105079863676347e-05,32,5,0.17506488477998083,0.1307589629470895,0.0,0.2,,,,,,
10,TrialState.COMPLETE,0.8738311034383542,4.768906585786676e-05,32,5,0.2127468533559413,0.14755128568100923,0.0,0.2,0.9004879155792579,0.8636018957345971,0.8843055420751238,0.8738311034383542,0.9603789210231907,0.53
21,TrialState.PRUNED,0.8736178813458566,2.2061939515581877e-05,16,3,0.07402892634963357,0.05411130318161873,0.0,0.2,,,,,,
7,TrialState.COMPLETE,0.8734748136542753,4.2527284905297604e-05,32,4,0.24223204654921876,0.13441369498852399,0.0,0.2,0.8992019365331518,0.8549256505576208,0.8928467436668931,0.8734748136542753,0.965342255946266,0.48000000000000004
16,TrialState.PRUNED,0.873443245166647,2.9936920922265878e-05,32,5,0.09208842264286535,0.09601327537013345,0.0,0.2,,,,,,
6,TrialState.COMPLETE,0.8723495907720289,1.6661067877731178e-05,8,3,0.2722699421778279,0.03739383437233124,0.05,0.15,0.8991262907069102,0.8605288007554297,0.8844996602931186,0.8723495907720289,0.9634447160794896,0.16
28,TrialState.COMPLETE,0.872289616964371,2.8819857925284623e-05,32,5,0.061254895908118626,0.08962615178472604,0.0,0.1,0.8988615303150649,0.8586741889985896,0.8863437833640687,0.872289616964371,0.9631032588137202,0.43
0,TrialState.COMPLETE,0.8698382033325284,1.1844319751820392e-05,8,5,0.18033450352296262,0.10621088666940683,0.05,0.1,0.8980672491395287,0.8656989040569121,0.8740172765214015,0.8698382033325284,0.9537477375531317,0.59
5,TrialState.PRUNED,0.8692794547224927,3.648156244855582e-05,8,4,0.26616382277289796,0.07083223877429239,0.1,0.15,,,,,,
29,TrialState.PRUNED,0.8690238458827675,1.4056926740843681e-05,32,3,0.0045063634877061665,0.106823719598961,0.1,0.1,,,,,,
9,TrialState.PRUNED,0.8684401451027811,9.6340855547381e-06,16,4,0.04346846162736693,0.07341791404163445,0.0,0.1,,,,,,
20,TrialState.PRUNED,0.8670684154555123,3.515330220641942e-05,32,2,0.12507738249825015,0.11748873214061792,0.0,0.2,,,,,,
3,TrialState.PRUNED,0.8650897420658504,1.7606794027339356e-05,16,2,0.02654775061557585,0.029397429362871777,0.1,0.15,,,,,,
2,TrialState.PRUNED,0.8645145805832233,5.807932994623227e-06,16,4,0.036611470453433645,0.07427653651669053,0.05,0.1,,,,,,
18,TrialState.PRUNED,0.8618522471243922,4.931445778225337e-05,32,5,0.17750509077901788,0.08910145739478283,0.0,0.2,,,,,,
1,TrialState.COMPLETE,0.860079575596817,1.0074238942079319e-05,8,2,0.13682099526511077,0.11777639420895203,0.1,0.15,0.8882711146412496,0.8399481913220465,0.8811996505872076,0.860079575596817,0.9591233270717294,0.24000000000000002
8,TrialState.PRUNED,0.859375,5.080683422651428e-06,8,4,0.1556371865230098,0.10545284383427668,0.05,0.15,,,,,,
14,TrialState.PRUNED,0.8573060664914887,2.6041373041612026e-05,32,5,0.10916664061954894,0.0038324242215814763,0.0,0.2,,,,,,
4,TrialState.PRUNED,0.8559420966612188,9.547826400522692e-06,32,3,0.0016566351370807197,0.12231921426822512,0.1,0.15,,,,,,
15,TrialState.FAIL,,2.9175018047083577e-05,32,5,0.06764254178525192,0.0950418596843184,0.0,0.2,,,,,,
